Id,Address1,Address2,FloorCount,Latitude,Longitude
432915,Queensway,"Southampton, South East, SO14 3, South East, United Kingdom",3,50.902036,-1.400009
430513,79 Murraygate,"Dundee, Scotland, DD1 2, Scotland, United Kingdom",,56.463049,-2.9681587
430561,Ehringshausen Way,"Haverhill, East of England, CB9 0, East of England, United Kingdom",,52.0791,0.4463
430658,32 Melville St,"Edinburgh, Scotland, EH3 7, Scotland, United Kingdom",5,55.9499604,-3.2127027
430989,Queensferry Rd,"Dunfermline, Scotland, KY11 8, Scotland, United Kingdom",1,56.048778,-3.430452
430996,130 High St,"Cheltenham, South West, GL50 1, South West, United Kingdom",2,51.8997213,-2.0729973
430997,23-23A Petty Cury,"Cambridge, East of England, CB2 3, East of England, United Kingdom",,52.205236,0.120168
430998,1-7 Market St,"Leicester, East Midlands, LE1 5, Birmingham/Midlands, United Kingdom",,52.6333464,-1.1340161
432917,3-5 St Martins Sq,"Leicester, East Midlands, LE1 5, Birmingham/Midlands, United Kingdom",1,52.6346893,-1.1354061
432919,363-367 Oxford St,"London, London, W1C 2, Greater London, United Kingdom",,51.5142651,-0.1484849
432921,16-18 Monument St,"London, London, EC3R 8, Greater London, United Kingdom",7,51.509983,-0.086051
431055,Precedent Dr,"Milton Keynes, South East, MK13 8, South East, United Kingdom",1,52.04381557,-0.780660508
431086,Boulton Road,"Reading, South East, RG2 0, South East, United Kingdom",,51.437108,-0.973299
431089,M25,"Purfleet, East of England, RM19 1, South East, United Kingdom",1,51.481517,0.256759
430665,Dyce Dr,"Aberdeen, Scotland, AB21 0, Scotland, United Kingdom",,57.206688,-2.213527
434449,Watermill Wy,"Merton, London, SW19 2, Greater London, United Kingdom",,51.4132821,-0.1827394
434455,Winwick Rd,"Warrington, North West, WA2 7, Manchester/NW, United Kingdom",1,53.399449,-2.595226
432973,A1,"Berwick upon Tweed, North East, TD15 2, Yorkshire/NE, United Kingdom",,55.731624,-1.989471
432986,Edinburgh Way,"Harlow, East of England, CM20 2, East of England, United Kingdom",1,51.78288762,0.113298476
433043,9 Station Plz,"Ilkley, Yorkshire and The Humber, LS29 6, Yorkshire/NE, United Kingdom",,53.8911,-1.7329
431120,Taunton Rd,"Bridgwater, South West, TA6 6, South West, United Kingdom",,51.119899,-2.998782
431250,54 Ayres St,"London, London, SE1 1, Greater London, United Kingdom",,51.5034642,-0.0951005
431298,162 Dundee St,"Edinburgh, Scotland, EH11 1, Scotland, United Kingdom",,55.942291,-3.21378
434456,,United Kingdom,,55.378051,-3.435973
434458,Edinburgh St,"Goole, Yorkshire and The Humber, DN14 5, Yorkshire/NE, United Kingdom",,53.704849,-0.871847
434459,,United Kingdom,,55.378051,-3.435973
434465,Rhosili Rd,"Northampton, East Midlands, NN4 7, Birmingham/Midlands, United Kingdom",1,52.22368041,-0.867741636
433046,Cathcart Rd,"Rutherglen, Scotland, G73 2, Scotland, United Kingdom",,55.825795,-4.224724
433087,112 Malling St,"Lewes, South East, BN7 2, South East, United Kingdom",3,50.87771,0.0212698
433107,64-74 East St,"Epsom, South East, KT17 1, South East, United Kingdom",4,51.33637198,-0.260242636
433136,,"Winchester, South East, SO23 9, South East, United Kingdom",1,51.06294,-1.316504
433149,101 Stroudley Rd,"Brighton, South East, BN1 4, South East, United Kingdom",5,50.8314879,-0.1401264
433151,31 Keel Wharf,"Liverpool, North West, L3 4, Manchester/NW, United Kingdom",8,53.3979105,-2.9898509
431299,3 Brocks Way,"Broxburn, Scotland, EH52 5, Scotland, United Kingdom",,55.942352,-3.452084
431303,,United Kingdom,,55.378051,-3.435973
431328,Commercial St,"Newport, Wales, NP20 1, Wales, United Kingdom",3,51.587407,-2.996714
431400,271-273 King St,"London, London, W6 9, Greater London, United Kingdom",4,51.493132,-0.23891
434469,Rhosili Rd,"Northampton, East Midlands, NN4 7, Birmingham/Midlands, United Kingdom",1,52.22368041,-0.867741636
434476,Lion Way,"Swansea, Wales, SA7 9, Wales, United Kingdom",1,51.658248,-3.908536
434499,Oxford Row,"Leeds, Yorkshire and The Humber, LS1 3, Yorkshire/NE, United Kingdom",5,53.800287,-1.5510388
431401,275-281 King St,"London, London, W6 9, Greater London, United Kingdom",6,51.4931859,-0.2389275
431431,51-57 St Sepulchre Gate,"Doncaster, Yorkshire and The Humber, DN1 1, Yorkshire/NE, United Kingdom",4,53.5220854,-1.1361212
431439,21 India St,"Glasgow, Scotland, G2 4, Scotland, United Kingdom",8,55.864458,-4.269761
431440,15 Berkeley St,"London, London, W1J 8, Greater London, United Kingdom",6,51.50846138,-0.143285027
431442,63 St Jamess St,"London, London, SW1A 1, Greater London, United Kingdom",5,51.5063746,-0.139346
431443,Greasbrough Rd,"Rotherham, Yorkshire and The Humber, S60 1, Yorkshire/NE, United Kingdom",,53.434332,-1.358652
431444,Elder Way,"Stevenage, East of England, SG1 1, East of England, United Kingdom",1,51.894053,-0.198162
431445,,United Kingdom,,55.378051,-3.435973
431447,,United Kingdom,,55.378051,-3.435973
431449,Bradley Stoke Way,"Bristol, South West, BS32 8, South West, United Kingdom",2,51.536448,-2.547972
431456,Wellington St,"Cheltenham, South West, GL50 1, South West, United Kingdom",,51.897459,-2.074124
431457,Rutherglen Rd,"Rutherglen, Scotland, G73 1, Scotland, United Kingdom",,55.8372,-4.229
431476,37 Eccleston Square,"London, London, SW1V 4, Greater London, United Kingdom",7,51.4910739,-0.1451031
431497,A96,"Aberdeen, Scotland, AB21 9, Scotland, United Kingdom",,57.18676,-2.200969
431508,2-5 Westbourne Ter,"London, London, W2 1, Greater London, United Kingdom",5,51.5140704,-0.1762363
431509,10-12 Bina Gardens,"London, London, SW5 0, Greater London, United Kingdom",6,51.4913911,-0.1831097
432481,15-17 Glenfield Rd,"East Kilbride, Scotland, G75 0, Scotland, United Kingdom",,55.7499909,-4.1596218
432483,McDonald Rd,"Edinburgh, Scotland, EH7 4, Scotland, United Kingdom",,55.964037,-3.18546
432486,Cleeve Rd,"Leatherhead, South East, KT22 7, South East, United Kingdom",,51.30308,-0.336558
432487,Vanwall Rd,"Maidenhead, South East, SL6 4, South East, United Kingdom",,51.511453,-0.74632
431510,75 Sloane St,"London, London, SW1X 0, Greater London, United Kingdom",5,51.4969372,-0.1592614
431511,115 Sloane St,"London, London, SW1X 0, Greater London, United Kingdom",5,51.494707,-0.158793
431520,,United Kingdom,,55.378051,-3.435973
432488,34 Upper Queen St,"Belfast, Northern Ireland, BT1 6, Northern Ireland, United Kingdom",,54.596806,-5.93331
432492,242-244 St John St,"London, London, EC1V 4, Greater London, United Kingdom",,51.5257878,-0.1036594
432494,20-25 Glasshouse Yard,"London, London, EC1M 6, Greater London, United Kingdom",,51.5214919,-0.0979326
432495,10-11 Clerkenwell Green,"London, London, EC1R 0, Greater London, United Kingdom",4,51.52298908,-0.104728852
431521,,United Kingdom,,55.378051,-3.435973
431551,123 Buckingham Palace Rd,"London, London, SW1W 9, Greater London, United Kingdom",6,51.49349143,-0.146308972
431559,15-25 Artillery Ln,"London, London, EC2M 4, Greater London, United Kingdom",4,51.51856042,-0.078303691
434564,,United Kingdom,,55.378051,-3.435973
434725,66-67 Sun Ct,"London, London, EC3V 3, Greater London, United Kingdom",,51.5135841,-0.0847962
434726,232 Vauxhall Bridge Rd,"London, London, SW1V 1, Greater London, United Kingdom",,51.49421748,-0.140538316
434728,160 New Bond St,"London, London, W1S 2, Greater London, United Kingdom",5,51.510493,-0.143054
433152,Charlotte Pl,"Southampton, South East, SO14 0, South East, United Kingdom",12,50.910727,-1.401366
433153,46-52 Exeter St,"Plymouth, South West, PL4 0, South West, United Kingdom",8,50.3714936,-4.1347372
433155,Scotswood Rd,"Newcastle, North East, NE1 4, Yorkshire/NE, United Kingdom",8,54.96602,-1.622144
431575,Pond St,"Sheffield, Yorkshire and The Humber, S1 2, Yorkshire/NE, United Kingdom",,53.3808,-1.4649
431608,5 Savile Row,"London, London, W1S 3, Greater London, United Kingdom",5,51.5105239,-0.1398818
431612,Between Towns Rd,"Oxford, South East, OX4 3, South East, United Kingdom",1,51.733042,-1.217583
433156,Midsummer Blvd,"Milton Keynes, South East, MK9 2, South East, United Kingdom",11,52.038211,-0.763798
433157,56 Great Bridgewater St,"Manchester, North West, M1 5, Manchester/NW, United Kingdom",6,53.4748696,-2.2460749
433158,60 Pentonville Rd,"London, London, N1 9, Greater London, United Kingdom",5,51.5322103,-0.1093659
434731,1 Jubilee Way,"West Malling, South East, ME19 4, South East, United Kingdom",,51.2804394,0.4044934
434732,40-42 Chapel Market,"London, London, N1 0, Greater London, United Kingdom",3,51.5339199,-0.107095
434733,Quinn Close,"Coventry, West Midlands, CV3 4, Birmingham/Midlands, United Kingdom",,52.392955,-1.478189
431614,Castle Close,"Barnsley, Yorkshire and The Humber, S71 2, Yorkshire/NE, United Kingdom",,53.5616,-1.4592
431642,27 Austin Friars,"London, London, EC2N 2, Greater London, United Kingdom",6,51.5151088,-0.0857278
431672,Greenfield Rd,"Royston, East of England, SG8 5, East of England, United Kingdom",,52.053025,-0.03914
433159,Imperial Rd,"London, London, SW6 2, Greater London, United Kingdom",8,51.474288,-0.184143
433161,245 Broad St,"Birmingham, West Midlands, B1 2, Birmingham/Midlands, United Kingdom",18,52.4766876,-1.9113925
433162,Fisherwick Pl,"Belfast, Northern Ireland, BT1 6, Northern Ireland, United Kingdom",5,54.596105,-5.934961
434736,Mercury Way,"Manchester, North West, M41 7, Manchester/NW, United Kingdom",2,53.46505,-2.334483
434738,5 Montagu Close,"London, London, SE1 9, Greater London, United Kingdom",6,51.50696663,-0.08981134
434739,6-8 Tokenhouse Yard,"London, London, EC2R 7, Greater London, United Kingdom",7,51.515261,-0.088157
431673,Cradock Rd,"Luton, East of England, LU4 0, East of England, United Kingdom",,51.89013762,-0.48140465
431674,Troisdorf Way,"Redcar, North East, TS10 5, Yorkshire/NE, United Kingdom",,54.589955,-1.08918
431675,Fisher St,"Newcastle, North East, NE6 4, Yorkshire/NE, United Kingdom",,54.9795912,-1.538696922
433164,Kendell St,"Leeds, Yorkshire and The Humber, LS10 1, Yorkshire/NE, United Kingdom",10,53.793413,-1.538363
433165,Eastern Perimeter Rd,"Hillingdon, London, TW6 2, Greater London, United Kingdom",8,51.468258,-0.419233
433166,80 Jamaica St,"Glasgow, Scotland, G1 4, Scotland, United Kingdom",11,55.8566935,-4.2575362
434751,Albert Basin,"Newham, London, E16 2, Greater London, United Kingdom",3,51.5065,0.0739
434762,M9,"Broxburn, Scotland, EH29 9, Scotland, United Kingdom",,55.9578,-3.4337
434796,25-29 Market St,"Halifax, Yorkshire and The Humber, HX1 1, Yorkshire/NE, United Kingdom",4,53.7223737,-1.8584908
431677,Whitley Rd,"Newcastle, North East, NE12 9, Yorkshire/NE, United Kingdom",,55.018563,-1.542782
431678,Euston St,"Leicester, East Midlands, LE2 7, Birmingham/Midlands, United Kingdom",,52.61569433,-1.132589636
431679,,"Ashford in Kent, South East, TN23 1, South East, United Kingdom",,51.1464659,0.875019
433168,43 Jeffrey St,"Edinburgh, Scotland, EH1 1, Scotland, United Kingdom",8,55.9511331,-3.1861113
433172,Wellesley Rd,"Croydon, London, CR0 2, Greater London, United Kingdom",12,51.376192,-0.097727
433184,Laporte Way,"Luton, East of England, LU4 8, East of England, United Kingdom",2,51.887787,-0.445944
434827,Bickenhill Ln,"Birmingham, West Midlands, B37 7, Birmingham/Midlands, United Kingdom",3,52.458019,-1.728776
434925,,United Kingdom,,55.378051,-3.435973
435034,Ings Rd,"Wakefield, Yorkshire and The Humber, WF2 9, Yorkshire/NE, United Kingdom",1,53.680306,-1.506142
433188,12-13 Jewry St,"Winchester, South East, SO23 8, South East, United Kingdom",3,51.0638623,-1.3163526
433192,Wakefield Rd,"Leeds, Yorkshire and The Humber, LS26 8, Yorkshire/NE, United Kingdom","1,2",53.734721,-1.457778
433224,Nunn Mills Rd,"Northampton, East Midlands, NN4 8, Birmingham/Midlands, United Kingdom",,52.230209,-0.885712
435063,Glasgow Rd,"Dumfries, Scotland, DG2 0, Scotland, United Kingdom",1,55.078625,-3.621755
435080,227 Marsh Wall,"London, London, E14 9, Greater London, United Kingdom",5,51.49985661,-0.011046136
